,Company,Rating,Position,Experience,Salary,Location,Skills,Link
100,Perex Engineering Pvt Ltd ,Nan,Data Scientist,Perex Engineering Pvt Ltd ,"15,00,000 - 25,00,000 PA.","Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Data Scienceaws sagemakerMachine Learningmodel buildingR programmingscrumConfluencePycharm,https://www.naukri.com/job-listings-data-scientist-perex-engineering-pvt-ltd-hyderabad-secunderabad-chennai-bangalore-bengaluru-4-to-8-years-150621009153?src=jobsearchDesk&sid=16254106715062113&xp=1&px=7
101,REKRUT INDIA PRIVATE LIMITED  ,Nan,Job | Data Scientist | Bangalore | Immediate Joiner | Remote - WFH,REKRUT INDIA PRIVATE LIMITED  ,"4,75,000 - 9,00,000 PA.","Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Data ScienceNLPMachine LearningIT SkillsPythonwork from homeAlgorithmsStatistical Analysis,https://www.naukri.com/job-listings-data-scientist-bangalore-immediate-joiner-remote-wfh-rekrut-india-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-3-to-5-years-130621000795?src=jobsearchDesk&sid=16254106715062113&xp=2&px=7
102,Xpetize Technology Solutions Private Limited,2.8,Data Python Engineer,Xpetize Technology Solutions Private Limited,Not disclosed,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru, Trivandrum/Thiruvananthapuram",Engineering servicesdata servicesdata scienceSocial serviceMedical insuranceTechnology solutionsManagementObject oriented programming,https://www.naukri.com/job-listings-data-python-engineer-xpetize-technology-solutions-private-limited-hyderabad-secunderabad-pune-bangalore-bengaluru-trivandrum-thiruvananthapuram-4-to-9-years-180321501220?src=jobsearchDesk&sid=16254106715062113&xp=3&px=7
103,WinTecSoft,Nan,Looking For Fresher’s / Intern For Artificial Intelligence projects,WinTecSoft,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru",Machine LearningRAISDLCArtificial IntelligenceDeep LearningpythonHadoop,https://www.naukri.com/job-listings-looking-for-fresher-s-intern-for-artificial-intelligence-projects-wintecsoft-hyderabad-secunderabad-bangalore-bengaluru-0-to-2-years-300621000383?src=jobsearchDesk&sid=16254106715062113&xp=4&px=7
104,CarbyneTech India,2.7,Business Analyst - User Story/ Wireframe,CarbyneTech India,Not disclosed,Hyderabad/Secunderabad,Enterprise ApplicationsData ScienceApplication DevelopmentWireframingProcess MappingTraceability MatrixFRSUser Stories,https://www.naukri.com/job-listings-business-analyst-user-story-wireframe-carbynetech-india-hyderabad-secunderabad-6-to-10-years-040721900343?src=jobsearchDesk&sid=16254106715062113&xp=5&px=7
105,CAMSDATA TECHNOLOGIES INDIA PVT LTD,4.3,Analyst Data Scientist,CAMSDATA TECHNOLOGIES INDIA PVT LTD,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",IT SkillsPythonData ScienceMachine LearningBig DataComputer scienceEvaluationData analysis,https://www.naukri.com/job-listings-analyst-data-scientist-camsdata-technologies-india-pvt-ltd-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-8-years-210518500355?src=jobsearchDesk&sid=16254106715062113&xp=6&px=7
106,Meritus Intelytics Private Limited,4.3,Merilytics - Business Analyst - Data Analytics -IIT/NIT/BITS,Meritus Intelytics Private Limited,Not disclosed,Hyderabad/Secunderabad,excelanalyticspythondata analysisbusiness analysisproblem solvingsqlstatistics,https://www.naukri.com/job-listings-merilytics-business-analyst-data-analytics-iit-nit-bits-meritus-intelytics-private-limited-hyderabad-secunderabad-0-to-3-years-030721004621?src=jobsearchDesk&sid=16254106715062113&xp=7&px=7
107,SPRINGML INDIA DEVELOPMENT CENTER,Nan,Sr Data Engineer - GCP,SPRINGML INDIA DEVELOPMENT CENTER,Not disclosed,"Hyderabad, telangana",data scienceGCPArtificial IntelligenceMachine learningCloudProgrammingArchitectingJ2Ee,https://www.naukri.com/job-listings-sr-data-engineer-gcp-springml-india-development-center-hyderabad-secunderabad-telangana-4-to-7-years-081220500220?src=jobsearchDesk&sid=16254106715062113&xp=8&px=7
108,Tide Software,Nan,Senior Data Analyst  Marketing,Tide Software,Not disclosed,Hyderabad,IT SkillsPythonAWSDigital MarketingPPCDiversity and InclusionData AnalystMedical insurance,https://www.naukri.com/job-listings-senior-data-analyst-marketing-tide-software-hyderabad-secunderabad-0-to-4-years-100321502006?src=jobsearchDesk&sid=16254106715062113&xp=9&px=7
109,Intellexe Management Consultants,Nan,Azure Data Factory,Intellexe Management Consultants,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru",data sciencemicrosoft azurepower biIntegration servicesbig dataData warehousingAnalyticsSQL,https://www.naukri.com/job-listings-azure-data-factory-intellexe-management-consultants-hyderabad-secunderabad-bangalore-bengaluru-2-to-6-years-150621500932?src=jobsearchDesk&sid=16254106715062113&xp=10&px=7
110,COLLABERA,3.7,Job Opportunity For Data Analyst,COLLABERA,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Javascriptshell scriptingcommunicationCJavaLinuxmachine learningETL,https://www.naukri.com/job-listings-opportunity-for-data-analyst-collabera-technologies-private-limited-kolkata-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-5-to-10-years-180621008123?src=jobsearchDesk&sid=16254106715062113&xp=11&px=7
111,Scry Analytics India Pvt Ltd.,Nan,Core Java Developer (Big Data) | 3+ years exp | Gurgaon OR Hyderabad,Scry Analytics India Pvt Ltd.,"8,00,000 - 18,00,000 PA.","Hyderabad/Secunderabad, Gurgaon/Gurugram",IT SkillsJavaTestingBig DataBig Data Analyticsdata engineerHadoopKafka,https://www.naukri.com/job-listings-core-java-developer-big-data-technologies-3-years-experience-scry-analytics-india-pvt-ltd-gurgaon-gurugram-3-to-8-years-310521003172?src=jobsearchDesk&sid=16254106715062113&xp=12&px=7
