,Company,Rating,Position,Experience,Salary,Location,Skills,Link
105,IDC TECHNOLOGIES SOLUTIONS INDIA PVT LIMITED,Nan,Database Engineer& Data Analyst,IDC TECHNOLOGIES SOLUTIONS INDIA PVT LIMITED,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",IT SkillsProject ManagementBPOproject managementDatabase EngineerData Analyst,https://www.naukri.com/job-listings-database-engineer-data-analyst-idc-technologies-solutions-india-pvt-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-3-to-8-years-300621605576?src=jobsearchDesk&sid=16254838768283969&xp=6&px=7
106,IDC TECHNOLOGIES SOLUTIONS INDIA PVT LIMITED,Nan,Database Engineer& Data Analyst,IDC TECHNOLOGIES SOLUTIONS INDIA PVT LIMITED,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",IT SkillsProject ManagementBPOproject managementDatabase EngineerData Analyst,https://www.naukri.com/job-listings-database-engineer-data-analyst-idc-technologies-solutions-india-pvt-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-3-to-8-years-300621005575?src=jobsearchDesk&sid=16254838768283969&xp=7&px=7
107,Sharadha Terry Products Private Limited,3.5,Data Analyst – Professor from the Best Engineering college in India,Sharadha Terry Products Private Limited,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Professor ActivitiesData Analysis,https://www.naukri.com/job-listings-data-analyst-professor-from-the-best-engineering-college-in-india-sharadha-terry-products-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-10-to-20-years-020721008570?src=jobsearchDesk&sid=16254838768283969&xp=8&px=7
108,HADS COMPANY,Nan,Senior Big Data Engineer,HADS COMPANY,Not disclosed,"New Delhi, Chennai, Bangalore/Bengaluru",AirflowData ScienceJavaNoSQLHadoopMySQLMongoDBSpark,https://www.naukri.com/job-listings-senior-big-data-engineer-hads-company-new-delhi-chennai-bangalore-bengaluru-5-to-10-years-190621002251?src=jobsearchDesk&sid=16254838768283969&xp=9&px=7
109,ADF Data Science Private Limited,3.4,Process Data Analyst (Six Sigma),ADF Data Science Private Limited,Not disclosed,Chennai,Continuous ImprovementSix Sigma ProjectsLean Six SigmaPerformance MetricsMonthly ReportsKaizenThinking SkillsData Analysis,https://www.naukri.com/job-listings-process-data-analyst-six-sigma-adf-data-science-private-limited-chennai-3-to-5-years-150621006474?src=jobsearchDesk&sid=16254838768283969&xp=10&px=7
110,Intelizest Consulting,Nan,Data Scientist - AWS/Python/Big Data Tools,Intelizest Consulting,Not disclosed,Chennai,digital analyticsLogistic RegressionSASScalaHDFSBig DataSQLData Science,https://www.naukri.com/job-listings-data-scientist-aws-python-big-data-tools-intelizest-consulting-chennai-7-to-12-years-290521902624?src=jobsearchDesk&sid=16254838768283969&xp=11&px=7
111,KONE Elevator India Pvt. Ltd,4.1,Data Analyst,KONE Elevator India Pvt. Ltd,"4,50,000 - 9,50,000 PA.",Chennai,data modellingData AnalysisStatistical Modelingdashboard,https://www.naukri.com/job-listings-data-analyst-kone-elevator-india-pvt-ltd-chennai-5-to-7-years-030621000273?src=jobsearchDesk&sid=16254838768283969&xp=12&px=7
112,Omnicom Media Group India Private Limited,3.2,Data Analyst,Omnicom Media Group India Private Limited,Not disclosed,"Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",Google Data StudioRPower BIAlteryxData AnalysisAdvanced ExcelQlikviewDatorama,https://www.naukri.com/job-listings-data-analyst-omnicom-media-group-india-private-limited-hyderabad-secunderabad-pune-gurgaon-gurugram-chennai-bangalore-bengaluru-3-to-5-years-010721008805?src=jobsearchDesk&sid=16254838768283969&xp=13&px=7
113,Hexaware Technologies Ltd.,3.4,Need For Business analyst with SQL Server and Data warehousing,Hexaware Technologies Ltd.,"10,00,000 - 20,00,000 PA.","Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",DWDWBISQL ServerData WarehousingETLBusiness Analysis,https://www.naukri.com/job-listings-need-for-business-analyst-with-sql-server-and-data-warehousing-hexaware-technologies-ltd-pune-chennai-bangalore-bengaluru-mumbai-all-areas-9-to-14-years-020721000427?src=jobsearchDesk&sid=16254838768283969&xp=14&px=7
114,C-MOTS Infotech pvt ltd,2.9,Financial Data Analysts,C-MOTS Infotech pvt ltd,Not disclosed,Chennai,ExcelVBAAccountingAnalyticalFinanceReconciliationData processingCommerce,https://www.naukri.com/job-listings-financial-data-analysts-c-mots-infotech-pvt-ltd-chennai-0-to-3-years-251120501340?src=jobsearchDesk&sid=16254838768283969&xp=15&px=7
