,Company,Rating,Position,Experience,Salary,Location,Skills,Link
163,Mastermind Network,Nan,Data Scientist (Machine Learning /AI),Mastermind Network,Not disclosed,Mumbai,TensorflowPytorchdeep learningpythondata scienceArtificial Intelligencedecision treesNatural Language Processing,https://www.naukri.com/job-listings-data-scientist-machine-learning-ai-mastermind-network-mumbai-4-to-8-years-120521001841?src=jobsearchDesk&sid=16254847476731053&xp=4&px=10
164,Mastermind Network,Nan,Data Scientist (Machine Learning /AI),Mastermind Network,Not disclosed,Mumbai,TensorflowPytorchdeep learningpythondata scienceArtificial Intelligencedecision treesNatural Language Processing,https://www.naukri.com/job-listings-data-scientist-machine-learning-ai-mastermind-network-mumbai-4-to-8-years-080621001169?src=jobsearchDesk&sid=16254847476731053&xp=5&px=10
165,Talpro,Nan,Data Scientist - NLP/Deep Learning,Talpro,Not disclosed,Mumbai,TensorflowKerasPythonalgorithmsdata structuresIT SkillsData ScienceOpen Source,https://www.naukri.com/job-listings-data-scientist-nlp-deep-learning-talpro-mumbai-1-to-4-years-040621902607?src=jobsearchDesk&sid=16254847476731053&xp=6&px=10
166,Intelenet Global Services Private Limited,3.7,Data Entry Executive,Intelenet Global Services Private Limited,"1,25,000 - 2,00,000 PA.",Mumbai,BPOdata entryData AnalysisData Entry Operation,https://www.naukri.com/job-listings-data-entry-executive-teleperformance-global-services-pvt-ltd-mumbai-0-to-5-years-010721005988?src=jobsearchDesk&sid=16254847476731053&xp=7&px=10
167,MaerskGlobalServices Pvt.Ltd ,4.2,Analytics Specialist -Spend Analysis(Digital procurement),MaerskGlobalServices Pvt.Ltd ,Not disclosed,Mumbai (All Areas)(Vikhroli),Spend AnalysisPower BiSQLData ScienceGlobal ProcurementRAdvanced AnalyticsData Analytics,https://www.naukri.com/job-listings-analytics-specialist-spend-analysis-digital-procurement-maerskglobalservices-pvt-ltd-mumbai-all-areas-3-to-7-years-300621000651?src=jobsearchDesk&sid=16254847476731053&xp=8&px=10
168,Branch International,Nan,Credit Analyst,Branch International,Not disclosed,"Mumbai, Bengaluru",Health insuranceData analysisdata scienceAnalyticalHypothesis TestingMedical insuranceFinancial servicesAnalytics,https://www.naukri.com/job-listings-credit-analyst-branch-international-mumbai-bengaluru-bangalore-3-to-5-years-211020500032?src=jobsearchDesk&sid=16254847476731053&xp=9&px=10
169,Baker Hughes Incorporated,4.0,Interns- Digital Technology,Baker Hughes Incorporated,Not disclosed,Mumbai,Computer scienceERPNetworkingcyber securitydata scienceArtificial IntelligenceInteraction designApplication development,https://www.naukri.com/job-listings-interns-digital-technology-baker-hughes-incorporated-mumbai-0-to-1-years-020721500240?src=jobsearchDesk&sid=16254847476731053&xp=10&px=10
170,IQVIA RDS India Pvt Ltd ,Nan,Lab Data Analyst - SAS Progamming,IQVIA RDS India Pvt Ltd ,Not disclosed,"Bangalore/Bengaluru, Mumbai (All Areas)",SASData AnalysisLab Data Management,https://www.naukri.com/job-listings-lab-data-analyst-sas-progamming-iqvia-rds-india-pvt-ltd-bangalore-bengaluru-mumbai-all-areas-1-to-6-years-030621008911?src=jobsearchDesk&sid=16254847476731053&xp=11&px=10
171,Hexaware Technologies Ltd.,3.4,Need For Business analyst with SQL Server and Data warehousing,Hexaware Technologies Ltd.,"10,00,000 - 20,00,000 PA.","Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",DWDWBISQL ServerData WarehousingETLBusiness Analysis,https://www.naukri.com/job-listings-need-for-business-analyst-with-sql-server-and-data-warehousing-hexaware-technologies-ltd-pune-chennai-bangalore-bengaluru-mumbai-all-areas-9-to-14-years-020721000427?src=jobsearchDesk&sid=16254847476731053&xp=12&px=10
172,Shaadi.com,3.6,Data Analyst,Shaadi.com,Not disclosed,Mumbai,Data analysistableauGoogle AnalyticsMachine learningProgrammingData analyticsdata visualizationbig data,https://www.naukri.com/job-listings-data-analyst-shaadi-com-mumbai-0-to-5-years-311220500131?src=jobsearchDesk&sid=16254847476731053&xp=13&px=10
173,DECIMAL POINT ANALYTICS PRIVATE LIMITED,3.5,Data Analyst,DECIMAL POINT ANALYTICS PRIVATE LIMITED,Not disclosed,"Mumbai, Nasik/Nashik",analyticsexceltableaumacrosbusiness analysispower bibusiness intelligence,https://www.naukri.com/job-listings-data-analyst-decimal-point-analytics-private-limited-mumbai-nasik-nashik-0-to-2-years-200521603276?src=jobsearchDesk&sid=16254847476731053&xp=14&px=10
174,ALLERIN TECHNOLOGIES Pvt Ltd.,Nan,Trainee Business Analyst   Big Data Analysis,ALLERIN TECHNOLOGIES Pvt Ltd.,Not disclosed,Mumbai,IT SkillsSoftware DevelopmentTestingBig DataCopyrightData analysisChange managementCoding,https://www.naukri.com/job-listings-trainee-business-analyst-big-data-analysis-allerin-technologies-pvt-ltd-mumbai-0-to-1-years-190417500473?src=jobsearchDesk&sid=16254847476731053&xp=15&px=10
175,Ressex,Nan,DATA ANALYST,Ressex,Not disclosed,Mumbai,Strong analytical skillsProcess improvementReport writingData collectionData Analystdata visualizationMSCStatistics,https://www.naukri.com/job-listings-data-analyst-ressex-mumbai-0-to-5-years-160218501558?src=jobsearchDesk&sid=16254847476731053&xp=16&px=10
176,United Phosphorus Limited,4.3,Business Data Analyst,United Phosphorus Limited,Not disclosed,Mumbai,Data ExtractionData VisualizationQlikViewTableauData Analyticsinternal auditRisk ManagementAuditing,https://www.naukri.com/job-listings-business-data-analyst-upl-limited-mumbai-5-to-7-years-080621907756?src=jobsearchDesk&sid=16254847476731053&xp=17&px=10
177,Institutional Shareholder Services Inc.,3.1,Jr. Data Analyst ,Institutional Shareholder Services Inc.,Not disclosed,Mumbai,ClaimsCorporate governanceBusiness researchAnalyticalData collectionISSMS OfficeFinancial services,https://www.naukri.com/job-listings-jr-data-analyst-institutional-shareholder-services-inc-mumbai-0-to-2-years-070421500923?src=jobsearchDesk&sid=16254847476731053&xp=18&px=10
178,Vodafone Idea Limited,4.2,AGM - Digital Data Analyst,Vodafone Idea Limited,Not disclosed,"Mumbai, Mumbai",AGM - Digital Data Analyst,https://www.naukri.com/job-listings-agm-digital-data-analyst-vodafone-idea-limited-mumbai-mumbai-1-to-1-years-050621902884?src=jobsearchDesk&sid=16254847476731053&xp=19&px=10
179,ExecBoardinAsia,Nan,Lead Data Scientist - Analyst,ExecBoardinAsia,Not disclosed,Mumbai,AnalystManager TechnologyWorkflowData analyticsResearch,https://www.naukri.com/job-listings-lead-data-scientist-analyst-execboardinasia-mumbai-5-to-10-years-040820500968?src=jobsearchDesk&sid=16254847476731053&xp=20&px=10
