,Company,Rating,Review Count,Position,Experience,Salary,Location,Skills,Link
298,VALIANCE ANALYTICS PRIVATE LIMITED, , ,Sr. Data Scientist,6-8 Yrs,"20,00,000 - 35,00,000 PA.","Bangalore/Bengaluru, Delhi / NCR","Tensorflow,Data Science,Artificial Intelligence,Articles,Case Studies,Time Series,Solution Development,Thought Leadership",https://www.naukri.com/job-listings-sr-data-scientist-valiance-analytics-private-limited-bangalore-bengaluru-delhi-ncr-6-to-8-years-180521006944?src=jobsearchDesk&sid=16259968149725575&xp=19&px=16
299,Gojek Tech, , ,Senior Data Scientist - Chatbot & NLP,3-7 Yrs,Not disclosed,Bangalore/Bengaluru,"Unix,Computer science,data science,Analytical,Machine learning,query,Flex,Distribution system",https://www.naukri.com/job-listings-senior-data-scientist-chatbot-nlp-gojek-tech-bangalore-bengaluru-3-to-7-years-060521500524?src=jobsearchDesk&sid=16259968149725575&xp=20&px=16
300,Superior Group,4.6,(14 Reviews),Senior/ Lead Data Scientist,6-11 Yrs,Not disclosed,Bangalore/Bengaluru,"advanced analytics,data science,Analytical,SCALA,Lead,Teradata,Predictive analytics,SQL",https://www.naukri.com/job-listings-senior-lead-data-scientist-superior-group-bangalore-bengaluru-6-to-11-years-180621500299?src=jobsearchDesk&sid=1625996842849449&xp=1&px=17
301,VALIANCE ANALYTICS PRIVATE LIMITED, , ,Sr. Data Scientist,6-8 Yrs,"20,00,000 - 35,00,000 PA.","Bangalore/Bengaluru, Delhi / NCR","Tensorflow,Data Science,Artificial Intelligence,Articles,Case Studies,Time Series,Solution Development,Thought Leadership",https://www.naukri.com/job-listings-sr-data-scientist-valiance-analytics-private-limited-bangalore-bengaluru-delhi-ncr-6-to-8-years-180521006944?src=jobsearchDesk&sid=1625996842849449&xp=2&px=17
302,Gojek Tech, , ,Senior Data Scientist - Chatbot & NLP,3-7 Yrs,Not disclosed,Bangalore/Bengaluru,"Unix,Computer science,data science,Analytical,Machine learning,query,Flex,Distribution system",https://www.naukri.com/job-listings-senior-data-scientist-chatbot-nlp-gojek-tech-bangalore-bengaluru-3-to-7-years-060521500524?src=jobsearchDesk&sid=1625996842849449&xp=3&px=17
303,GO-JEK India,4.5,(6 Reviews),Senior Data Scientist - Chatbot & NLP,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,"IT Skills,Python,Data Science,Machine Learning,Unix,Computer science,Analytical,query",https://www.naukri.com/job-listings-senior-data-scientist-chatbot-nlp-go-jek-india-bangalore-bengaluru-5-to-10-years-050521500478?src=jobsearchDesk&sid=1625996842849449&xp=4&px=17
304,BankBazaar.com (A&A DUKAAN FINANCIAL SERVICES PVT. LTD),3.4,(224 Reviews),Senior Data Scientist,5-7 Yrs,Not disclosed,Bangalore/Bengaluru,"Segmentation,SAS,Data Mining,Text Mining,SQL,Business Analysis,Data Science,R",https://www.naukri.com/job-listings-senior-data-scientist-bankbazaar-com-a-a-dukaan-financial-services-pvt-ltd-bangalore-bengaluru-5-to-7-years-040321006895?src=jobsearchDesk&sid=1625996842849449&xp=5&px=17
305,ExecBoardinAsia, , ,Senior Data Scientist,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,"Supply chain,Project Staff,customer development,Prototype,Team management,data science,Vendor selection,Machine learning",https://www.naukri.com/job-listings-senior-data-scientist-execboardinasia-bangalore-bengaluru-5-to-10-years-030621500359?src=jobsearchDesk&sid=1625996842849449&xp=6&px=17
306,Data is Good, , ,Power BI Content Developer,0-1 Yrs,"1,75,000 - 3,00,000 PA.","Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","Business Intelligence,Power Bi,Data Wrangling,Blogs,Data Management,Data Mining,Data Science,Content Development",https://www.naukri.com/job-listings-power-bi-content-developer-data-is-good-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-1-years-160621001016?src=jobsearchDesk&sid=1625996842849449&xp=7&px=17
307,e-Hireo Global Pvt Ltd, , ,Data Scientist - Internet/Online,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Data Science,Data Scientist,Data Management,Data Analytics,Analytics",https://www.naukri.com/job-listings-data-scientist-internet-online-e-hireo-global-pvt-ltd-bangalore-bengaluru-2-to-5-years-250820900813?src=jobsearchDesk&sid=1625996842849449&xp=8&px=17
308,Winfort Services Pvt ltd , , ,Data Scientist,4-9 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Python,Spark,Artificial Intelligence,Hive,Data Visualization,Machine Learning,SQL,R",https://www.naukri.com/job-listings-data-scientist-winfort-services-pvt-ltd-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-4-to-9-years-290621605044?src=jobsearchDesk&sid=1625996842849449&xp=9&px=17
