,Company,Rating,Review Count,Title,Experience,Salary,Location,Skills,Link,Role,Industry,Functional Area,Role Category,Employment Type,Industry Type,UG ,PG ,Doctorate 
149,PEOPLESTRONG TECHNOLOGIES PRIVATE LIMITED  , , ,Data Scientist - Consumer Insights & Analytics,7-12 Yrs,Not disclosed,Mumbai (All Areas),"Anomaly Detection,Data Science,Predictive Modeling,R,Natural Language Processing,Statistical Modeling,Machine Learning,Deep Learning",https://www.naukri.com/job-listings-data-scientist-consumer-insights-analytics-peoplestrong-technologies-private-limited-mumbai-all-areas-7-to-12-years-190621002250?src=jobsearchDesk&sid=16261517623656594&xp=10&px=9,"Analytics Manager,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","Analytics / KPO / Research,",B.Tech/B.E. in Any Specialization,MBA/PGDM in Any Specialization,
150,Branch International, , ,Credit Analyst,3-5 Yrs,Not disclosed,"Mumbai, Bengaluru","Health insurance,Data analysis,data science,Analytical,Hypothesis Testing,Medical insurance,Financial services,Analytics",https://www.naukri.com/job-listings-credit-analyst-branch-international-mumbai-bengaluru-bangalore-3-to-5-years-211020500032?src=jobsearchDesk&sid=16261517623656594&xp=11&px=9,"Credit Analyst-Corporate Banking,",,"Financial Services, Banking, Investments, Insurance,",Corporate Banking,"Full Time, Permanent","Banking,",Any Graduate,Post Graduation Not Required,
151,P&G,4.3,(731 Reviews),Analytics & Insights (IT) Manager- Business Analyst,1-2 Yrs,Not disclosed,Mumbai,"Data Science,Business Intelligence,Business Analytics,Big Data,Tableau,Statistics,Sql",https://www.naukri.com/job-listings-analytics-insights-it-manager-business-analyst-p-g-mumbai-1-to-2-years-090721501514?src=jobsearchDesk&sid=16261517623656594&xp=12&px=9,"Business Analyst,",,"Strategy, Management Consulting, Corporate Planning,",Corporate Planning/Consulting/Strategy,"Full Time, Permanent","Consumer Electronics & Appliances,",Any Graduate,Post Graduation Not Required,
152,INTERTRUST GROUP,3.7,(13 Reviews),Business Data Analyst - MIS & Reporting,3-8 Yrs,Not disclosed,"Mumbai, Bangalore/Bengaluru","SQL Server,Tableau,ETL,Spotfire,Data Engineering,Power Bi,MS Visio,SSRS",https://www.naukri.com/job-listings-business-data-analyst-mis-reporting-intertrust-group-mumbai-bangalore-bengaluru-3-to-8-years-270121001879?src=jobsearchDesk&sid=16261517623656594&xp=13&px=9,"Data Analyst,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","Accounting / Auditing,",Any Graduate,Any Postgraduate,
153,INTERTRUSTVITEOS CORPORATE AND FUND SERVICES PVT. LTD.,3.2,(5 Reviews),Assistant Vice President - MIS & Reporting ( Business Data Analyst),10-15 Yrs,Not disclosed,"Mumbai, Bangalore/Bengaluru","Data Engineering,SQL Server,Data Visualization,Data Automation,Automation,Power Bi,Service Integration,Service Transition",https://www.naukri.com/job-listings-assistant-vice-president-mis-reporting-business-data-analyst-intertrustviteos-corporate-and-fund-services-pvt-ltd-mumbai-bangalore-bengaluru-10-to-15-years-080521002186?src=jobsearchDesk&sid=16261517623656594&xp=14&px=9,"Head/VP/GM - Analytics & BI,",,"Analytics & Business Intelligence,",Senior Management,"Full Time, Permanent","Accounting / Auditing,",Any Graduate,Any Postgraduate,
154,Internet Brands, , ,Associate - Data Analyst,0-4 Yrs,Not disclosed,Mumbai,"Performance tuning,Automation,Backend,Web analytics,Analytical,power bi,Stored procedures,Automotive",https://www.naukri.com/job-listings-associate-data-analyst-internet-brands-mumbai-0-to-4-years-250621500095?src=jobsearchDesk&sid=16261517623656594&xp=15&px=9,"Business/EDP Analyst,",,"ITES, BPO, KPO, LPO, Customer Service, Operations,",Operations,"Full Time, Permanent","Internet,",B.Tech/B.E. in Production/Industrial,Post Graduation Not Required,
155,Shaadi.com,3.7,(69 Reviews),Data Analyst,0-5 Yrs,Not disclosed,Mumbai,"Data analysis,tableau,Google Analytics,Machine learning,Programming,Data analytics,data visualization,big data",https://www.naukri.com/job-listings-data-analyst-shaadi-com-mumbai-0-to-5-years-311220500131?src=jobsearchDesk&sid=16261517623656594&xp=16&px=9,"Software Developer,",,"IT Software - DBA, Datawarehousing,",Programming & Design,"Full Time, Permanent","Internet,",Any Graduate,Post Graduation Not Required,
156,Mind Circus Innovation, , ,Excel VBA Jobs Pune | VBA data analyst Jobs,0-1 Yrs,"90,000 - 1,75,000 PA.","Nagpur, Pune, Mumbai (All Areas)","Excel,SQL,Word,VBA,MIS,VLOOKUP,Data Analysis,Advanced Excel",https://www.naukri.com/job-listings-excel-vba-jobs-pune-vba-data-analyst-jobs-mind-circus-innovation-nagpur-pune-mumbai-all-areas-0-to-1-years-220621005559?src=jobsearchDesk&sid=16261517623656594&xp=17&px=9,"Fresher,",,"IT Software - DBA, Datawarehousing,",Other,"Full Time, Permanent","Animation & VFX,",Any Graduate,,
157,DECIMAL POINT ANALYTICS PRIVATE LIMITED,3.5,(42 Reviews),Data Analyst,0-2 Yrs,Not disclosed,"Mumbai, Nasik/Nashik","analytics,excel,tableau,macros,business analysis,power bi,business intelligence",https://www.naukri.com/job-listings-data-analyst-decimal-point-analytics-private-limited-mumbai-nasik-nashik-0-to-2-years-200521603276?src=jobsearchDesk&sid=16261517623656594&xp=18&px=9,"Data Analyst,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","Analytics / KPO / Research,",B.Tech/B.E. in Any Specialization,MBA/PGDM in Any Specialization,Doctorate Not Required
158,ALLERIN TECHNOLOGIES Pvt Ltd., , ,Trainee Business Analyst   Big Data Analysis,0-1 Yrs,Not disclosed,Mumbai,"IT Skills,Software Development,Testing,Big Data,Copyright,Data analysis,Change management,Coding",https://www.naukri.com/job-listings-trainee-business-analyst-big-data-analysis-allerin-technologies-pvt-ltd-mumbai-0-to-1-years-190417500473?src=jobsearchDesk&sid=16261517623656594&xp=19&px=9,"Business Analyst,",,"IT Software - Application Programming, Maintenance,",System Design/Implementation/ERP/CRM,"Full Time, Permanent","IT Services & Consulting,","BCA in Computers, B.Tech/B.E. in Computers, B.Sc in Computers","MCA in Computers, M.Tech in Computers",
159,Ressex, , ,DATA ANALYST,0-5 Yrs,Not disclosed,Mumbai,"Strong analytical skills,Process improvement,Report writing,Data collection,Data Analyst,data visualization,MSC,Statistics",https://www.naukri.com/job-listings-data-analyst-ressex-mumbai-0-to-5-years-160218501558?src=jobsearchDesk&sid=16261517623656594&xp=20&px=9,"Assistant Manager/Manager-(NonTechnical),",,"ITES, BPO, KPO, LPO, Customer Service, Operations,",Back Office/Web/Transaction Processing,"Full Time, Permanent","Banking,",Any Graduate,Post Graduation Not Required,
160,Institutional Shareholder Services Inc.,3.1,(6 Reviews),Jr. Data Analyst ,0-2 Yrs,Not disclosed,Mumbai,"Claims,Corporate governance,Business research,Analytical,Data collection,ISS,MS Office,Financial services",https://www.naukri.com/job-listings-jr-data-analyst-institutional-shareholder-services-inc-mumbai-0-to-2-years-070421500923?src=jobsearchDesk&sid=1626152152067847&xp=1&px=10,"Associate/Senior Associate -(NonTechnical),",,"ITES, BPO, KPO, LPO, Customer Service, Operations,",Back Office/Web/Transaction Processing,"Full Time, Permanent","Banking,",B.B.A/ B.M.S in Management,Any Postgraduate,
161,ExecBoardinAsia, , ,Lead Data Scientist - Analyst,5-10 Yrs,Not disclosed,Mumbai,"Analyst,Manager Technology,Workflow,Data analytics,Research",https://www.naukri.com/job-listings-lead-data-scientist-analyst-execboardinasia-mumbai-5-to-10-years-040820500968?src=jobsearchDesk&sid=1626152152067847&xp=2&px=10,"Team Lead/Technical Lead,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","Recruitment / Staffing,",Any Graduate,Post Graduation Not Required,
162,Reliance Jio Infocomm Ltd.,4.0,(10076 Reviews),Data Analyst,3-7 Yrs,Not disclosed,"Mumbai, Thane","Data Analysis,Data Collection,Predictive Analytics,Statistical Tools,Data Analytics,Data Governance",https://www.naukri.com/job-listings-data-analyst-reliance-jio-infocomm-ltd-mumbai-thane-3-to-7-years-020221004487?src=jobsearchDesk&sid=1626152152067847&xp=3&px=10,"Business Analyst,",,"IT Software - DBA, Datawarehousing,",System Design/Implementation/ERP/CRM,"Full Time, Permanent","Power,",B.Tech/B.E. in Any Specialization,,
163,Fractal Analytics,3.9,(97 Reviews),Senior Design Researcher,2-5 Yrs,Not disclosed,"Mumbai, Bangalore/Bengaluru","User research,data science,User interface designing,Artificial Intelligence,Research,international clients,Business understanding,Analytics",https://www.naukri.com/job-listings-senior-design-researcher-fractal-analytics-ltd-mumbai-bangalore-bengaluru-2-to-5-years-020721501535?src=jobsearchDesk&sid=1626152152067847&xp=4&px=10,"Design Engineer,",,"Engineering Design, R&D,",Engineering Design,"Full Time, Permanent","Management Consulting,",Any Graduate,Post Graduation Not Required,
164,NIFTEL COMMUNICATIONS PRIVATE LIMITED, , ,Data Engineer/Data Scientist/Data Analysis,3-8 Yrs,Not disclosed,"Noida, Chandigarh, Indore, Gurgaon/Gurugram, Ahmedabad, Jaipur, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","SPARK,PYTHON,AWS,REST,Analysis,REST API,SQL,NLP",https://www.naukri.com/job-listings-data-engineer-data-scientist-data-analysis-niftel-communications-private-limited-noida-chandigarh-indore-gurgaon-gurugram-ahmedabad-jaipur-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-3-to-8-years-200521604259?src=jobsearchDesk&sid=1626152152067847&xp=5&px=10,"Assistant Manager/Manager-(Technical),",,"ITES, BPO, KPO, LPO, Customer Service, Operations,",Voice,"Full Time, Permanent","IT Services & Consulting,",Any Graduate,Post Graduation Not Required,Doctorate Not Required
165,NIFTEL COMMUNICATIONS PRIVATE LIMITED, , ,Data Engineer/Data Scientist/Data Analysis,3-8 Yrs,Not disclosed,"Noida, Chandigarh, Indore, Gurgaon/Gurugram, Ahmedabad, Jaipur, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","SQL,Analysis,NLP,AWS,REST,REST API,SPARK,PYTHON",https://www.naukri.com/job-listings-data-engineer-data-scientist-data-analysis-niftel-communications-private-limited-noida-chandigarh-indore-gurgaon-gurugram-ahmedabad-jaipur-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-3-to-8-years-200521004257?src=jobsearchDesk&sid=1626152152067847&xp=6&px=10,"Assistant Manager/Manager-(Technical),",,"ITES, BPO, KPO, LPO, Customer Service, Operations,",Voice,"Full Time, Permanent","IT Services & Consulting,",Any Graduate,Post Graduation Not Required,Doctorate Not Required
166,VNS Finance  Capital Services. Ltd., , ,Data Analyst- Manager/ Sr Manager,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR","Google Analytics,Marketing Analytics,Return On Investment,Sales Analytics",https://www.naukri.com/job-listings-data-analyst-manager-sr-manager-vns-finance-capital-services-ltd-kolkata-mumbai-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-3-to-5-years-180521004579?src=jobsearchDesk&sid=1626152152067847&xp=7&px=10,"Marketing Manager,",,"Marketing, Advertising, MR, PR, Media Planning,",Marketing,"Full Time, Permanent","Financial Services,",,MBA/PGDM in Any Specialization,
